,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,aykhal,90,RU,1571364811,100,65.95,111.51,30.2,8.95
1,carnarvon,100,ZA,1571364811,47,-30.97,22.13,68.51,6.67
2,victoria,75,BN,1571364812,74,5.28,115.24,86.0,5.82
3,busselton,53,AU,1571364812,34,-33.64,115.35,66.99,8.1
4,norman wells,90,CA,1571364812,95,65.28,-126.83,32.0,5.82
5,nikolskoye,90,RU,1571364812,100,59.7,30.79,39.99,6.71
6,ahipara,100,NZ,1571364813,82,-35.17,173.16,68.0,24.29
7,albany,90,US,1571364814,71,42.65,-73.75,51.8,10.29
8,husavik,100,CA,1571364814,73,50.56,-96.99,46.99,7.0
9,mataura,44,NZ,1571364814,66,-46.19,168.86,57.0,15.01
10,hermanus,42,ZA,1571364815,96,-34.42,19.24,60.01,9.15
11,barrow,58,AR,1571364815,94,-38.31,-60.23,51.54,13.49
12,kapaa,40,US,1571364815,74,22.08,-159.32,82.4,14.99
13,severo-kurilsk,97,RU,1571364815,71,50.68,156.12,41.14,29.73
14,leningradskiy,100,RU,1571364816,94,69.38,178.42,34.01,13.44
15,turukhansk,100,RU,1571364816,95,65.8,87.96,26.47,7.47
16,saint george,20,GR,1571364816,93,39.45,22.34,59.0,1.01
17,flinders,0,AU,1571364816,16,-34.58,150.85,78.01,6.93
18,kavaratti,100,IN,1571364817,81,10.57,72.64,80.99,15.97
19,sacramento,1,US,1571364817,32,38.58,-121.49,71.6,4.7
20,balaipungut,100,ID,1571364817,62,1.11,101.31,89.03,1.43
21,ust-nera,100,RU,1571364818,91,64.57,143.24,10.73,2.1
22,rio grande,85,BR,1571364818,98,-32.03,-52.1,64.59,3.83
23,hualmay,95,PE,1571364818,89,-11.1,-77.61,61.75,16.82
24,mar del plata,2,AR,1571364818,40,-46.43,-67.52,55.61,19.17
25,beringovskiy,86,RU,1571364818,80,63.05,179.32,27.98,5.37
26,bluff,0,AU,1571364819,38,-23.58,149.07,90.62,5.01
27,bambous virieux,20,MU,1571364819,64,-20.34,57.76,69.8,10.29
28,sept-iles,90,CA,1571364819,86,50.2,-66.38,42.01,18.34
29,esperance,90,AU,1571364819,51,-33.86,121.89,62.6,12.75
30,saldanha,98,PT,1571364821,91,41.42,-6.55,54.19,3.65
31,ushuaia,40,AR,1571364821,49,-54.81,-68.31,48.2,10.29
32,broome,72,GB,1571364821,100,52.47,1.45,54.0,4.7
33,padang,46,ID,1571364821,87,-0.92,100.36,78.27,12.62
34,ust-tsilma,13,RU,1571364821,96,65.44,52.15,26.95,1.45
35,rikitea,100,PF,1571364822,86,-23.12,-134.97,70.01,16.31
36,tateyama,75,JP,1571364822,68,36.66,137.31,68.0,3.36
